 HS2017_CD, HS2017_KO_NM, KSIC10_CD, KSIC10_KO_NM
270750,그 밖의 방향족(芳香族) 탄화수소의 혼합물[섭씨 250도에서 아이ㆍ에스ㆍ오(ISO) 3405방법{에이ㆍ에스ㆍ티ㆍ엠 디(ASTM D)86의 방법과 동등}으로 증류한 양이 전 용량의 100분의 65 이상(손실분을 포함한다)인 것으로 한정한다],20119,석탄 화학계 화합물 및 기타 기초 유기 화학 물질 제조업
290121,에틸렌,20111,석유화학계 기초 화학 물질 제조업
290250,스티렌,20111,석유화학계 기초 화학 물질 제조업
381519,기타,20499,그 외 기타 분류 안된 화학제품 제조업
270720,톨루올(톨루엔),20119,석탄 화학계 화합물 및 기타 기초 유기 화학 물질 제조업
270710,벤조올(벤젠),20119,석탄 화학계 화합물 및 기타 기초 유기 화학 물질 제조업
270400,"코크스와 반성(半成) 코크스(석탄ㆍ갈탄ㆍ토탄으로 제조한 것으로 한정하며, 응결시킨 것인지에 상관없다), 레토르트 카본(retort carbon)",19101,코크스 및 관련 제품 제조업
290219,기타,20111,석유화학계 기초 화학 물질 제조업
290122,프로펜(프로필렌),20111,석유화학계 기초 화학 물질 제조업
271129,기타,19210,원유 정제 처리업
220422,2리터 초과 10리터 이하의 용기에 넣은 것,11119,기타 발효주 제조업
220429,기타,11119,기타 발효주 제조업
271111,천연가스,5200,원유 및 천연가스 채굴업
220299,기타,11209,기타 비알코올 음료 제조업
270791,크레오소트(creosote)유,20119,석탄 화학계 화합물 및 기타 기초 유기 화학 물질 제조업
271113,부탄,19210,원유 정제 처리업
270210,갈탄(잘게 부수었는지에 상관없으며 응결시킨 것은 제외한다),5100,석탄 광업
382488,"테트라-, 펜타-, 헥사-, 헵타- 또는 옥타브로모디페닐 에테르를 함유한 것",20499,그 외 기타 분류 안된 화학제품 제조업
220720,변성 에틸알코올과 그 밖의 변성 주정(알코올의 용량은 상관없다),20119,석탄 화학계 화합물 및 기타 기초 유기 화학 물질 제조업
290241,오르토-크실렌,20111,석유화학계 기초 화학 물질 제조업
220850,진(gin)과 제네바(geneva),11129,기타 증류주 및 합성주 제조업
290313,클로로포름(삼염화메탄),20111,석유화학계 기초 화학 물질 제조업
290371,클로로디플루오르메탄,20111,석유화학계 기초 화학 물질 제조업
290375,디클로로펜타플루오르프로판,20111,석유화학계 기초 화학 물질 제조업
220870,리큐르(liqueur)류와 코디얼(cordial),11129,기타 증류주 및 합성주 제조업
381600,내화시멘트ㆍ내화모르타르ㆍ내화콘크리트와 이와 유사한 혼합물(제3801호의 물품은 제외한다),23212,부정형 내화 요업제품 제조업
381700,혼합알킬벤젠과 혼합알킬나프탈렌(제2707호ㆍ제2902호의 물품은 제외한다),20499,그 외 기타 분류 안된 화학제품 제조업
290220,벤젠,20111,석유화학계 기초 화학 물질 제조업
382569,기타,33999,그 외 기타 달리 분류 되지 않은 제품 제조업
290315,"이염화에틸렌(ISO)(1,2-이염화에탄)",20111,석유화학계 기초 화학 물질 제조업
290290,기타,20111,석유화학계 기초 화학 물질 제조업
220590,기타,11119,기타 발효주 제조업
382600,바이오디젤과 그 혼합물[석유나 역청유(瀝靑油)를 함유하지 않거나 중량기준으로 70 퍼센트 미만을 함유한 것으로 한정한다],19210,원유 정제 처리업
382600,바이오디젤과 그 혼합물[석유나 역청유(瀝靑油)를 함유하지 않거나 중량기준으로 70 퍼센트 미만을 함유한 것으로 한정한다],20495,바이오 연료 및 혼합물 제조업
382561,주로 유기성분을 함유하는 것,33999,그 외 기타 달리 분류 되지 않은 제품 제조업
270810,피치(pitch),20119,석탄 화학계 화합물 및 기타 기초 유기 화학 물질 제조업
270500,석탄가스ㆍ수성(水性)가스ㆍ발생로(發生爐)가스와 이와 유사한 가스(석유가스와 그 밖의 가스 상태의 탄화수소는 제외한다),35200,연료용 가스 제조 및 배관 공급업
220110,광천수와 탄산수,11202,생수 생산업
220430,그 밖의 포도즙,11119,기타 발효주 제조업
220421,2리터 이하의 용기에 넣은 것,11119,기타 발효주 제조업
382499,기타,20499,그 외 기타 분류 안된 화학제품 제조업
290124,"1,3-부타디엔과 이소프렌",20111,석유화학계 기초 화학 물질 제조업
290260,에틸벤젠,20111,석유화학계 기초 화학 물질 제조업
290129,기타,20111,석유화학계 기초 화학 물질 제조업
270300,"토탄(토탄 찌꺼기를 포함하며, 응결시킨 것인지에 상관없다)",5100,석탄 광업
290230,톨루엔,20111,석유화학계 기초 화학 물질 제조업
381900,유압제동액과 그 밖의 조제 유압전동액[석유나 역청유(瀝靑油)를 함유하지 않거나 석유나 역청유(瀝靑油)의 함유량이 전 중량의 100분의 70 미만인 것으로 한정한다],20499,그 외 기타 분류 안된 화학제품 제조업
290270,큐멘,20111,석유화학계 기초 화학 물질 제조업
290243,파라-크실렌,20111,석유화학계 기초 화학 물질 제조업
270900,석유와 역청유(瀝靑油)(원유로 한정한다),5200,원유 및 천연가스 채굴업
270799,기타,20119,석탄 화학계 화합물 및 기타 기초 유기 화학 물질 제조업
290311,염화메탄(염화메틸)과 염화에탄(염화에틸),20111,석유화학계 기초 화학 물질 제조업
271121,천연가스,5200,원유 및 천연가스 채굴업
271019,기타,19210,원유 정제 처리업
271019,기타,19229,기타 석유 정제물 재처리업
271019,기타,19221,윤활유 및 그리스 제조업
290211,시클로헥산,20111,석유화학계 기초 화학 물질 제조업
382550,"금속세정액, 유압액, 브레이크액, 부동액 폐기물",33999,그 외 기타 달리 분류 되지 않은 제품 제조업
290110,포화비환식탄화수소,20111,석유화학계 기초 화학 물질 제조업
381800,"전자공업에 사용하기 위하여 도프처리된(doped) 화학원소(디스크ㆍ웨이퍼 모양이나 이와 유사한 모양으로 한정한다), 전자공업에 사용하기 위하여 도프처리된(doped) 화학화합물",20499,그 외 기타 분류 안된 화학제품 제조업
290244,혼합크실렌이성체,20111,석유화학계 기초 화학 물질 제조업
270600,석탄ㆍ갈탄ㆍ토탄을 증류해서 얻은 타르와 그 밖의 광물성 타르(탈수나 부분 증류한 것과 재구성한 타르를 포함한다),19101,코크스 및 관련 제품 제조업
220840,럼(rum)과 발효된 사탕수수제품을 증류하여 얻은 그 밖의 증류주,11129,기타 증류주 및 합성주 제조업
220210,설탕이나 그 밖의 감미료 또는 맛이나 향을 첨가한 물(광천수와 탄산수를 포함한다),11209,기타 비알코올 음료 제조업
270220,응결시킨 갈탄,5100,석탄 광업
270740,나프탈렌,20119,석탄 화학계 화합물 및 기타 기초 유기 화학 물질 제조업
270111,무연탄,5100,석탄 광업
290123,부텐(부틸렌)과 이들의 이성체,20111,석유화학계 기초 화학 물질 제조업
290319,기타,20111,석유화학계 기초 화학 물질 제조업
220300,맥주,11112,맥아 및 맥주 제조업
271114,에틸렌ㆍ프로필렌ㆍ부틸렌ㆍ부타디엔,19210,원유 정제 처리업
270820,피치코크스(pitch cokes),20119,석탄 화학계 화합물 및 기타 기초 유기 화학 물질 제조업
271119,기타,19210,원유 정제 처리업
270119,그 밖의 석탄,5100,석탄 광업
220900,식초와 초산으로 만든 식초 대용물,10741,"식초, 발효 및 화학 조미료 제조업"
290312,이염화메탄(염화메틸렌),20111,석유화학계 기초 화학 물질 제조업
220190,기타,35300,"증기, 냉·온수 및 공기 조절 공급업"
220190,기타,6020,산업용수 공급업
220190,기타,36010,생활용수 공급업
220190,기타,11201,얼음 제조업
382487,"과불화옥탄 술폰산과 그 염, 과불화옥탄 술폰아미드, 또는 과불화옥탄술포닐 플루오라이드를 함유한 것",20499,그 외 기타 분류 안된 화학제품 제조업
220600,"그 밖의 발효주[예: 사과술ㆍ배술ㆍ미드(mead)ㆍ사케(sak?)], 따로 분류되지 않은 발효주의 혼합물, 발효주와 알코올을 함유하지 않은 음료와의 혼합물",11111,탁주 및 약주 제조업
220600,"그 밖의 발효주[예: 사과술ㆍ배술ㆍ미드(mead)ㆍ사케(sak?)], 따로 분류되지 않은 발효주의 혼합물, 발효주와 알코올을 함유하지 않은 음료와의 혼합물",11119,기타 발효주 제조업
271112,프로판,19210,원유 정제 처리업
271099,기타,33999,그 외 기타 달리 분류 되지 않은 제품 제조업
381590,기타,20499,그 외 기타 분류 안된 화학제품 제조업
220830,위스키류,11129,기타 증류주 및 합성주 제조업
220510,2리터 이하의 용기에 넣은 것,11119,기타 발효주 제조업
382100,미생물(바이러스와 이와 유사한 것을 포함한다)ㆍ식물ㆍ인간ㆍ동물 세포의 성장이나 보존을 위한 조제 배양제,20499,그 외 기타 분류 안된 화학제품 제조업
382491,"(5-에틸-2-메틸-2-옥시도-1,3,2-디옥사포스피난-5-일)메틸 메틸 메틸포스포네이트와 비스[(5-에틸-2-메틸-2-옥시도-1,3,2-디옥사포스피난-5-일)메틸] 메틸포스포네이트로 주로 구성된 혼합물과 조제품",20499,그 외 기타 분류 안된 화학제품 제조업
290242,메타-크실렌,20111,석유화학계 기초 화학 물질 제조업
382486,펜타클로로벤젠(ISO) 또는 헥사클로로벤젠(ISO)을 함유한 것,20499,그 외 기타 분류 안된 화학제품 제조업
220860,보드카,11129,기타 증류주 및 합성주 제조업
290314,사염화탄소,20111,석유화학계 기초 화학 물질 제조업
271012,경질유(輕質油)와 조제품,19210,원유 정제 처리업
382000,부동(不凍) 조제품과 조제 제빙액,20499,그 외 기타 분류 안된 화학제품 제조업
270120,석탄으로 제조한 연탄ㆍ조개탄(ovoid)과 이와 유사한 고체 연료,5100,석탄 광업
270120,석탄으로 제조한 연탄ㆍ조개탄(ovoid)과 이와 유사한 고체 연료,19102,연탄 및 기타 석탄 가공품 제조업
270730,크실롤(크실렌),20119,석탄 화학계 화합물 및 기타 기초 유기 화학 물질 제조업
270112,유연탄,5100,석탄 광업
271091,"폴리염소화 비페닐(PCBs), 폴리염소화 테르페닐(PCTs)이나 폴리브롬화 비페닐(PBBs)을 함유하는 것",33999,그 외 기타 달리 분류 되지 않은 제품 제조업
220820,포도주나 포도즙을 짜낸 찌꺼기에서 얻은 증류주,11129,기타 증류주 및 합성주 제조업
220710,변성하지 않은 에틸알코올(알코올의 용량이 전 용량의 100분의 80 이상인 것으로 한정한다),11129,기타 증류주 및 합성주 제조업
220291,알코올을 함유하지 않은 맥주,11209,기타 비알코올 음료 제조업
271020,"석유와 역청유(瀝靑油)(원유는 제외한다), 따로 분류되지 않은 조제품[석유나 역청유(瀝靑油)의 함유량이 전 중량의 100분의 70 이상이고 조제품의 기초 성분이 석유나 역청유(瀝靑油)인 것으로서 바이오디젤을 함유하는 것으로 한정한다][웨이스트 오일(waste oil)은 제외한다]",19210,원유 정제 처리업
220890,기타,11121,주정 제조업
220890,기타,11122,소주 제조업
220890,기타,11129,기타 증류주 및 합성주 제조업
382590,기타,33999,그 외 기타 달리 분류 되지 않은 제품 제조업
220410,발포성(發泡性) 포도주,11119,기타 발효주 제조업
