KCPC2_CD, KCPC2_NM, CPC21_CD, CPC21_EN_NM, ISIC4_CD, ISIC4_KO_NM, ISIC4_EN_NM, KSIC10_CD, KSIC10_KO_NM, HS2017_CD, HS2017_KO_NM, HS2017_EN_NM
1111,종자용 밀,1111,"Wheat, seed",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100111,종자,Seed
1111,종자용 밀,1111,"Wheat, seed",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100191,종자,Seed
1112,기타 밀,1112,"Wheat, other",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100119,기타,Other
1112,기타 밀,1112,"Wheat, other",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100199,기타,Other
1121,종자용 옥수수,1121,"Maize (corn), seed",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100510,종자용,For seed
1122,기타 옥수수,1122,"Maize (corn), other",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100590,기타,Other
1131,종자용 벼,1131,"Rice, seed",112,쌀 재배업,Growing of rice,1123,종자 및 묘목 생산업,100610,벼,Rice in the husk (paddy or rough)
1132,기타 벼,1132,"Rice paddy, other (not husked)",112,쌀 재배업,Growing of rice,1110,곡물 및 기타 식량작물 재배업,100610,벼,Rice in the husk (paddy or rough)
1141,종자용 수수,1141,"Sorghum, seed",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100710,종자,Seed
1142,기타 수수,1142,"Sorghum, other",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100790,기타,Other
1151,종자용 보리,1151,"Barley, seed",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100310,종자,Seed
1152,기타 보리,1152,"Barley, other",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100390,기타,Other
1153,종자용 맥주보리,1151,"Barley, seed",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100310,종자,Seed
1154,기타 맥주보리,1152,"Barley, other",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100390,기타,Other
1161,종자용 호밀,1161,"Rye, seed",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100210,종자,Seed
1162,기타 호밀,1162,"Rye, other",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100290,기타,Other
1171,종자용 귀리,1171,"Oats, seed",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100410,종자,Seed
1172,기타 귀리,1172,"Oats, other",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100490,기타,Other
1181,종자용 기장,1181,"Millet, seed",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100821,종자,Seed
1182,기타 기장,1182,"Millet, other",111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100829,기타,Other
1191,메밀,1192,Buckwheat,111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100810,메밀,Buckwheat
1191,메밀,1192,Buckwheat,111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100810,메밀,Buckwheat
1192,퀴노아,1194,Quinoa,111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100850,퀴노아(quinoa)[체노포디움 퀴노아(Chenopodium quinoa)],Quinoa (Chenopodium quinoa)
1192,퀴노아,1194,Quinoa,111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100850,퀴노아(quinoa)[체노포디움 퀴노아(Chenopodium quinoa)],Quinoa (Chenopodium quinoa)
1193,카나리시드,1195,Canary seed,111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100830,카나리시드(canary seed),Canary seeds
1193,카나리시드,1195,Canary seed,111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100830,카나리시드(canary seed),Canary seeds
1199,기타 곡물,1191,Triticale,111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1110,곡물 및 기타 식량작물 재배업,100840,포니오(Fonio)[디지타리아(Digitaria)종],Fonio (Digitaria spp.)
1199,기타 곡물,1193,Fonio,111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100860,라이밀(triticale),Triticale
1199,기타 곡물,1199,Other cereals n.e.c.,111,"곡물(쌀 제외), 콩류, 종실유 재배업","Growing of cereals (except rice), leguminous crops and oil seeds",1123,종자 및 묘목 생산업,100890,그 밖의 곡물,Other cereals
1211,아스파라거스,1211,Asparagus,113,"야채와 멜론, 구근, 덩이줄기 재배업","Growing of vegetables and melons, roots and tubers",1121,채소작물 재배업,70920,아스파라거스(asparagus),Asparagus
