 HS2017_CD, HS2017_KO_NM, KSIC10_CD, KSIC10_KO_NM
870194,엔진의 동력이 75킬로와트 초과130킬로와트 이하인 것,29210,농업 및 임업용 기계 제조업
870333,"실린더용량이 2,500시시를 초과하는 것",30121,승용차 및 기타 여객용 자동차 제조업
870421,총중량이 5톤 이하인 것,30122,화물자동차 및 특수 목적용 자동차 제조업
870332,"실린더용량이 1,500시시 초과 2,500시시 이하인 것",30121,승용차 및 기타 여객용 자동차 제조업
870323,"실린더용량이 1,500시시 초과 3,000시시 이하인 것",30121,승용차 및 기타 여객용 자동차 제조업
870431,총중량이 5톤 이하인 것,30122,화물자동차 및 특수 목적용 자동차 제조업
870360,"그 밖의 차량(불꽃점화식 왕복 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것으로 한정한다)",30121,승용차 및 기타 여객용 자동차 제조업
870390,기타,30121,승용차 및 기타 여객용 자동차 제조업
870410,덤프차(비고속도로용으로 설계된 것으로 한정한다),29241,건설 및 채업용 기계·장비 제조업
870370,"그 밖의 차량[압축점화식 피스톤 내연기관(디젤이나 세미디젤)과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것으로 한정한다]",30121,승용차 및 기타 여객용 자동차 제조업
870422,총중량이 5톤 초과 20톤 이하인 것,30122,화물자동차 및 특수 목적용 자동차 제조업
870331,"실린더용량이 1,500시시 이하인 것",30121,승용차 및 기타 여객용 자동차 제조업
870340,"그 밖의 차량(불꽃점화식 왕복 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것은 제외한다)",30121,승용차 및 기타 여객용 자동차 제조업
870192,엔진의 동력이 18킬로와트 초과 37킬로와트 이하인 것,29210,농업 및 임업용 기계 제조업
870195,엔진의 동력이 130킬로와트를 초과하는 것,29210,농업 및 임업용 기계 제조업
870350,"그 밖의 차량[압축점화식 피스톤 내연기관(디젤이나 세미디젤)과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부 전원에 플러그를 꽂아 충전할 수 있는 방식의 것은 제외한다]",30121,승용차 및 기타 여객용 자동차 제조업
870191,엔진의 동력이 18킬로와트 이하인 것,29210,농업 및 임업용 기계 제조업
870322,"실린더용량이 1,000시시 초과 1,500시시 이하인 것",30121,승용차 및 기타 여객용 자동차 제조업
870423,총중량이 20톤을 초과하는 것,30122,화물자동차 및 특수 목적용 자동차 제조업
870324,"실린더용량이 3,000시시를 초과하는 것",30121,승용차 및 기타 여객용 자동차 제조업
870380,그 밖의 차량(추진용 전동기만을 갖춘 것),30121,승용차 및 기타 여객용 자동차 제조업
870193,엔진의 동력이 37킬로와트 초과 75킬로와트 이하인 것,29210,농업 및 임업용 기계 제조업
870432,총중량이 5톤을 초과하는 것,30122,화물자동차 및 특수 목적용 자동차 제조업
